date, price
2020/7/9,345.00 
2020/7/10,348.50 
2020/7/13,354.50 
2020/7/14,363.50 
2020/7/15,363.00 
2020/7/16,357.50 
2020/7/17,367.00 
2020/7/20,366.00 
2020/7/21,383.00 
2020/7/22,384.00 
2020/7/23,381.50 
2020/7/24,386.00 
2020/7/27,424.50 
2020/7/28,435.00 
2020/7/29,422.00 
2020/7/30,434.00 
2020/7/31,425.50 
2020/8/3,416.00 
2020/8/4,425.50 
2020/8/5,429.00 
2020/8/6,435.00 
2020/8/7,433.00 
2020/8/10,435.50 
2020/8/11,429.00 
2020/8/12,419.00 
2020/8/13,429.00 
2020/8/14,427.00 
2020/8/17,435.00 
2020/8/18,433.00 
2020/8/19,427.50 
2020/8/20,415.00 
2020/8/21,424.50 
2020/8/24,428.00 
2020/8/25,434.50 
2020/8/26,442.00 
2020/8/27,444.00 
2020/8/28,435.00 
2020/8/31,426.50 
2020/9/1,435.00 
2020/9/2,433.00 
2020/9/3,436.00 
2020/9/4,429.00 
2020/9/7,426.00 
2020/9/8,431.00 
2020/9/9,427.00 
2020/9/10,435.00 
2020/9/11,436.50 
2020/9/14,441.00 
2020/9/15,445.00 
2020/9/16,458.00 
2020/9/17,
2020/9/17,448.50 
2020/9/18,444.00 
2020/9/21,440.00 
2020/9/22,437.00 
2020/9/23,433.50 
2020/9/24,423.00 
2020/9/25,424.00 
2020/9/28,431.50 
2020/9/29,431.00 
2020/9/30,433.00 
2020/10/5,432.50 
2020/10/6,439.50 
2020/10/7,443.00 
2020/10/8,453.00 
2020/10/12,460.00 
2020/10/13,462.00 
2020/10/14,459.00 
2020/10/15,453.00 
2020/10/16,449.00 
2020/10/19,457.50 
2020/10/20,451.00 
2020/10/21,453.00 
2020/10/22,455.00 
2020/10/23,452.00 
2020/10/26,450.00 
2020/10/27,447.00 
2020/10/28,444.00 
2020/10/29,437.00 
2020/10/30,432.00 
2020/11/2,435.50 
2020/11/3,441.00 
2020/11/4,450.00 
2020/11/5,451.00 
2020/11/6,452.50 
2020/11/9,458.50 
2020/11/10,451.00 
2020/11/11,457.00 
2020/11/12,458.00 
2020/11/13,462.00 
2020/11/16,484.00 
2020/11/17,485.50 
2020/11/18,497.00 
2020/11/19,490.00 
2020/11/20,488.00 
2020/11/23,496.50 
2020/11/24,492.00 
2020/11/25,487.00 
